Timestamp,Mode,FPS,Contrast_Gain,Visibility_Score
01:01:32,AI MODE: CLEAR (Pass-Through),7.15,0.0,100.0
01:01:32,AI MODE: CLEAR (Pass-Through),53.67,0.0,100.0
01:01:32,AI MODE: CLEAR (Pass-Through),21.63,0.0,100.0
01:01:32,AI MODE: CLEAR (Pass-Through),7.02,0.0,100.0
01:01:32,AI MODE: CLEAR (Pass-Through),56.54,0.0,100.0
01:01:32,AI MODE: CLEAR (Pass-Through),56.81,0.0,100.0
01:01:32,AI MODE: CLEAR (Pass-Through),7.34,0.0,100.0
01:01:32,AI MODE: CLEAR (Pass-Through),55.55,0.0,100.0
01:01:32,AI MODE: CLEAR (Pass-Through),56.43,0.0,100.0
01:01:32,AI MODE: CLEAR (Pass-Through),7.03,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),53.44,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),57.81,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),6.2,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),54.41,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),55.56,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),7.16,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),59.3,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),56.86,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),7.08,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),57.03,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),56.22,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),7.3,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),22.4,0.0,100.0
01:01:33,AI MODE: CLEAR (Pass-Through),55.39,0.0,100.0
01:01:34,AI MODE: CLEAR (Pass-Through),7.27,0.0,100.0
01:01:34,AI MODE: CLEAR (Pass-Through),54.45,0.0,100.0
01:01:34,AI MODE: CLEAR (Pass-Through),57.22,0.0,100.0
01:01:34,AI MODE: CLEAR (Pass-Through),7.24,0.0,100.0
01:01:34,AI MODE: CLEAR (Pass-Through),55.32,0.0,100.0
01:01:34,AI MODE: CLEAR (Pass-Through),57.59,0.0,100.0
01:01:34,AI MODE: CLEAR (Pass-Through),7.24,0.0,100.0
01:01:34,AI MODE: CLEAR (Pass-Through),53.43,0.0,100.0
01:01:34,AI MODE: CLEAR (Pass-Through),21.78,0.0,100.0
01:01:34,AI MODE: CLEAR (Pass-Through),7.39,0.0,100.0
01:01:34,AI MODE: CLEAR (Pass-Through),58.41,0.0,100.0
01:01:34,AI MODE: CLEAR (Pass-Through),58.09,0.0,100.0
01:01:34,AI MODE: CLEAR (Pass-Through),7.4,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),58.86,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),61.63,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),7.13,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),57.35,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),62.3,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),6.37,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),58.59,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),60.62,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),7.35,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),59.88,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),58.0,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),7.35,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),55.69,0.0,100.0
01:01:35,AI MODE: CLEAR (Pass-Through),60.34,0.0,100.0
01:01:36,AI MODE: CLEAR (Pass-Through),7.46,0.0,100.0
